geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
01037,-23.54562128,-46.63929205,sao paulo,SP
01046,-23.54608113,-46.6448203,sao paulo,SP
01046,-23.54612897,-46.64295148,sao paulo,SP
01041,-23.54439216,-46.63949931,sao paulo,SP
01035,-23.54157796,-46.64160722,sao paulo,SP
01012,-23.5477623,-46.63536054,ṣo paulo,SP
01047,-23.54627311,-46.64122517,sao paulo,SP
01013,-23.54692321,-46.6342637,sao paulo,SP
01029,-23.54376906,-46.63427784,sao paulo,SP
01011,-23.54763955,-46.63603162,sao paulo,SP
01013,-23.54732513,-46.63418379,sao paulo,SP
01032,-23.5384181,-46.63477838,sao paulo,SP
01014,-23.54643534,-46.63383023,sao paulo,SP
01012,-23.54894599,-46.63467113,sao paulo,SP
01037,-23.54518734,-46.63785524,ṣo paulo,SP
01046,-23.54608113,-46.6448203,sao paulo,SP
01039,-23.54188301,-46.63991947,sao paulo,SP
01024,-23.54138952,-46.62989909,ṣo paulo,SP
01009,-23.5469354,-46.63658793,sao paulo,SP
01046,-23.54588428,-46.64316319,sao paulo,SP
01046,-23.54516589,-46.6437858,sao paulo,SP
01020,-23.55223547,-46.62844066,ṣo paulo,SP
01011,-23.54669049,-46.63544696,ṣo paulo,SP
01043,-23.54665672,-46.64078762,ṣo paulo,SP
01050,-23.54977352,-46.64559901,sao paulo,SP
01045,-23.54159376,-46.64189379,sao paulo,SP
01009,-23.54542953,-46.63571531,sao paulo,SP
01007,-23.55039252,-46.63730164,sao paulo,SP
01032,-23.53984188,-46.63514798,ṣo paulo,SP
01041,-23.54353945,-46.64057731,sao paulo,SP
01005,-23.54981909,-46.63560589,sao paulo,SP
01037,-23.5467046,-46.64033633,ṣo paulo,SP
01017,-23.55001091,-46.63116637,ṣo paulo,SP
01046,-23.54532012,-46.64406863,sao paulo,SP
01019,-23.55215188,-46.63080225,sao paulo,SP
01032,-23.54077469,-46.63551484,sao paulo,SP
01017,-23.54929541,-46.6320747,sao paulo,SP
01050,-23.54900941,-46.64281228,sao paulo,SP
01050,-23.54875559,-46.6427892,sao paulo,SP
01027,-23.53830117,-46.63076391,sao paulo,SP
01050,-23.54985418,-46.6431394,sao paulo,SP
01013,-23.54711925,-46.6342327,sao paulo,SP
01033,-23.5403213,-46.63639482,sao paulo,SP
01009,-23.54569154,-46.63586606,sao paulo,SP
01046,-23.54608113,-46.6448203,sao paulo,SP
01050,-23.54874766,-46.64239137,sao paulo,SP
01032,-23.54119148,-46.63499346,sao paulo,SP
01020,-23.5525495,-46.63163153,sao paulo,SP
01006,-23.55052431,-46.63669364,sao paulo,SP
01034,-23.54239163,-46.63770928,sao paulo,SP
01020,-23.55248245,-46.62938956,sao paulo,SP
01047,-23.54660532,-46.64198217,sao paulo,SP
01042,-23.5448736,-46.64030309,sao paulo,SP
01034,-23.54290892,-46.63679725,sao paulo,SP
01047,-23.54599882,-46.64083474,sao paulo,SP
01035,-23.54020456,-46.64414706,sao paulo,SP
01027,-23.53867033,-46.62934557,sao paulo,SP
01046,-23.54638197,-46.64289371,ṣo paulo,SP
01042,-23.54505165,-46.64007245,sao paulo,SP
01040,-23.54031676,-46.63735537,sao paulo,SP
01046,-23.54639669,-46.64305934,sao paulo,SP
01017,-23.54981335,-46.63035027,sao paulo,SP
01026,-23.5394948,-46.63284391,ṣo paulo,SP
01033,-23.53914718,-46.63583236,sao paulo,SP
01036,-23.54170002,-46.64131782,sao paulo,SP
01046,-23.54608113,-46.6448203,sao paulo,SP
01009,-23.5469354,-46.63658793,sao paulo,SP
01046,-23.54608113,-46.6448203,sao paulo,SP
01047,-23.54677477,-46.64251431,ṣo paulo,SP
01045,-23.542925,-46.64342395,sao paulo,SP
01014,-23.54708227,-46.63340844,sao paulo,SP
01048,-23.54744892,-46.64016924,ṣo paulo,SP
01046,-23.54532012,-46.64406863,sao paulo,SP
01002,-23.54831798,-46.6354211,sao paulo,SP
01033,-23.53615608,-46.63565006,sao paulo,SP
01048,-23.54705213,-46.63947796,sao paulo,SP
01014,-23.54645334,-46.63394723,sao paulo,SP
01031,-23.53686412,-46.63349314,sao paulo,SP
01029,-23.5413057,-46.63285262,sao paulo,SP
01050,-23.54985418,-46.6431394,sao paulo,SP
01032,-23.54077469,-46.63551484,sao paulo,SP
01031,-23.53730432,-46.63386244,sao paulo,SP
01046,-23.54608113,-46.6448203,sao paulo,SP
01022,-23.54498661,-46.63345367,sao paulo,SP
01008,-23.54425493,-46.63463914,sao paulo,SP
01009,-23.54634051,-46.6362385,sao paulo,SP
01048,-23.54744892,-46.64016924,ṣo paulo,SP
01010,-23.54780696,-46.63612182,sao paulo,SP
01020,-23.55253336,-46.62960898,sao paulo,SP
01036,-23.54170002,-46.64131782,sao paulo,SP
01003,-23.54903245,-46.63531311,sao paulo,SP
01013,-23.54732513,-46.63418379,sao paulo,SP
01045,-23.54230307,-46.64280269,sao paulo,SP
01013,-23.54768632,-46.63413977,ṣo paulo,SP
01046,-23.54608113,-46.6448203,sao paulo,SP
01046,-23.54612897,-46.64295148,sao paulo,SP
01042,-23.54466737,-46.64066943,ṣo paulo,SP
01009,-23.54634051,-46.6362385,sao paulo,SP
01050,-23.54910733,-46.6441046,ṣo paulo,SP
01001,-23.549292,-46.63355948,sao paulo,SP
01026,-23.53984025,-46.63026399,sao paulo,SP
01014,-23.54631892,-46.63343056,sao paulo,SP
01009,-23.54634051,-46.6362385,sao paulo,SP
01043,-23.54501366,-46.64199302,sao paulo,SP
01050,-23.54910733,-46.6441046,ṣo paulo,SP
01014,-23.54694058,-46.63331192,sao paulo,SP
01047,-23.54627311,-46.64122517,sao paulo,SP
01032,-23.53701971,-46.63435857,sao paulo,SP
01050,-23.55044921,-46.64324289,sao paulo,SP
01017,-23.54885183,-46.63120715,sao paulo,SP
01015,-23.54482635,-46.63086956,sao paulo,SP
01032,-23.53701971,-46.63435857,sao paulo,SP
01039,-23.5406862,-46.63829645,sao paulo,SP
01008,-23.54534149,-46.63558669,sao paulo,SP
01005,-23.54981909,-46.63560589,sao paulo,SP
01046,-23.54625296,-46.64521736,sao paulo,SP
01026,-23.53984025,-46.63026399,sao paulo,SP
01045,-23.542925,-46.64342395,sao paulo,SP
01024,-23.54186295,-46.63003529,sao paulo,SP
01031,-23.54252079,-46.63533516,sao paulo,SP
01014,-23.54676159,-46.63345485,sao paulo,SP
01038,-23.54267968,-46.63819684,sao paulo,SP
01050,-23.55073675,-46.64337117,sao paulo,SP
01016,-23.54849513,-46.63349063,sao paulo,SP
01049,-23.54530659,-46.63699457,sao paulo,SP
01026,-23.5394395,-46.63306387,sao paulo,SP
01016,-23.54928367,-46.6314849,sao paulo,SP
01010,-23.54685136,-46.63554539,sao paulo,SP
01029,-23.53731362,-46.63302995,ṣo paulo,SP
01021,-23.54516769,-46.63224868,sao paulo,SP
01018,-23.55021865,-46.63188,sao paulo,SP
01014,-23.54533829,-46.63358225,sao paulo,SP
01044,-23.54575105,-46.64132694,sao paulo,SP
01034,-23.543343,-46.63777725,sao paulo,SP
01049,-23.54744137,-46.63887209,sao paulo,SP
01014,-23.54721572,-46.63338619,sao paulo,SP
01050,-23.54985418,-46.6431394,sao paulo,SP
01043,-23.54473464,-46.64252349,sao paulo,SP
01020,-23.55249553,-46.63206,ṣo paulo,SP
01046,-23.54531792,-46.6439748,sao paulo,SP
01050,-23.54880166,-46.64237337,ṣo paulo,SP
01035,-23.5404397,-46.64371578,sao paulo,SP
01036,-23.54131144,-46.64188583,sao paulo,SP
01046,-23.54536858,-46.64318283,sao paulo,SP
01046,-23.54675842,-46.64577103,ṣo paulo,SP
01048,-23.54715406,-46.63954789,sao paulo,SP
01035,-23.54394733,-46.6373965,sao paulo,SP
01046,-23.54639669,-46.64305934,sao paulo,SP
01044,-23.54489638,-46.64201998,ṣo paulo,SP
01045,-23.54275398,-46.64148203,sao paulo,SP
01045,-23.54230307,-46.64280269,sao paulo,SP
01049,-23.54530659,-46.63699457,sao paulo,SP
01019,-23.55188848,-46.63008934,sao paulo,SP
01036,-23.54017643,-46.64415914,sao paulo,SP
01043,-23.54473464,-46.64252349,ṣo paulo,SP
01040,-23.54011171,-46.63701681,sao paulo,SP
01048,-23.54705213,-46.63947796,sao paulo,SP
01020,-23.55249951,-46.63078103,sao paulo,SP
01042,-23.5447206,-46.64051557,sao paulo,SP
01050,-23.54880166,-46.64237337,sao paulo,SP
01033,-23.53695825,-46.63581028,sao paulo,SP
01050,-23.54985418,-46.6431394,sao paulo,SP
01024,-23.54138952,-46.62989909,sao paulo,SP
01007,-23.54961074,-46.63835065,sao paulo,SP
01021,-23.54102681,-46.63207068,sao paulo,SP
01050,-23.54885719,-46.64186497,sao paulo,SP
01044,-23.545627,-46.64140988,sao paulo,SP
01013,-23.54730787,-46.63425128,sao paulo,SP
01014,-23.54594895,-46.6335015,ṣo paulo,SP
01037,-23.54388307,-46.63807493,ṣo paulo,SP
01026,-23.53916761,-46.63524162,sao paulo,SP
01007,-23.54833928,-46.63800654,sao paulo,SP
01032,-23.54050566,-46.63541487,sao paulo,SP
01046,-23.54504786,-46.64317277,sao paulo,SP
01035,-23.5404397,-46.64371578,sao paulo,SP
01022,-23.54449763,-46.63146175,sao paulo,SP
01030,-23.5383639,-46.6329301,ṣo paulo,SP
01046,-23.54516589,-46.6437858,sao paulo,SP
01037,-23.54615657,-46.63988527,sao paulo,SP
01003,-23.54890065,-46.63715701,sao paulo,SP
01032,-23.54185361,-46.63513728,sao paulo,SP
01042,-23.54466737,-46.64066943,sao paulo,SP
01019,-23.55173348,-46.63030271,ṣo paulo,SP
01008,-23.54545047,-46.63565674,sao paulo,SP
01003,-23.54904445,-46.63518261,sao paulo,SP
01005,-23.5494715,-46.63740388,sao paulo,SP
01046,-23.54535489,-46.64401432,sao paulo,SP
01042,-23.5447206,-46.64051557,sao paulo,SP
01050,-23.54848763,-46.64068659,sao paulo,SP
01047,-23.54556122,-46.64033874,sao paulo,SP
01050,-23.55073675,-46.64337117,sao paulo,SP
01017,-23.55015993,-46.6314654,sao paulo,SP
01020,-23.55249553,-46.63206,sao paulo,SP
01005,-23.54875839,-46.63841095,sao paulo,SP
01050,-23.54874766,-46.64239137,sao paulo,SP
01012,-23.54701177,-46.63482873,sao paulo,SP
01030,-23.5383993,-46.63288761,sao paulo,SP
01012,-23.54895781,-46.63455516,sao paulo,SP
01013,-23.546421,-46.63436151,sao paulo,SP
01046,-23.54504786,-46.64317277,sao paulo,SP
01046,-23.54681742,-46.64538,sao paulo,SP
01016,-23.54944327,-46.6323497,ṣo paulo,SP
01035,-23.54020456,-46.64414706,sao paulo,SP
01050,-23.54872317,-46.641603,sao paulo,SP
01026,-23.53916761,-46.63524162,sao paulo,SP
01006,-23.55025925,-46.63635994,sao paulo,SP
01001,-23.55049771,-46.63433818,sao paulo,SP
01048,-23.5465371,-46.63917497,sao paulo,SP
01020,-23.55185432,-46.62920012,sao paulo,SP
01047,-23.54731074,-46.64142303,sao paulo,SP
01033,-23.54295,-46.6353,sao paulo,SP
01032,-23.53984188,-46.63514798,ṣo paulo,SP
01033,-23.54079672,-46.63647343,sao paulo,SP
01020,-23.55223547,-46.62844066,sao paulo,SP
01002,-23.54741686,-46.63636125,sao paulo,SP
01050,-23.54918735,-46.6441946,ṣo paulo,SP
01009,-23.54634051,-46.6362385,ṣo paulo,SP
01019,-23.55188991,-46.63105319,sao paulo,SP
01027,-23.5380152,-46.63194741,ṣo paulo,SP
01048,-23.54690813,-46.6393959,sao paulo,SP
01046,-23.54608113,-46.6448203,sao paulo,SP
01034,-23.54299556,-46.63757567,sao paulo,SP
01035,-23.54394733,-46.6373965,sao paulo,SP
01050,-23.54985418,-46.6431394,sao paulo,SP
01047,-23.54731074,-46.64142303,sao paulo,SP
01046,-23.54638197,-46.64289371,sao paulo,SP
01045,-23.54248736,-46.64293487,sao paulo,SP
01045,-23.54230307,-46.64280269,sao paulo,SP
01011,-23.54669049,-46.63544696,sao paulo,SP
01044,-23.54727688,-46.63992378,sao paulo,SP
01007,-23.55100662,-46.63587188,sao paulo,SP
01047,-23.5457782,-46.64064024,sao paulo,SP
01029,-23.54056295,-46.6328504,sao paulo,SP
01012,-23.5490082,-46.63452648,sao paulo,SP
01019,-23.55166352,-46.63125416,sao paulo,SP
01001,-23.55064182,-46.63440979,sao paulo,SP
01037,-23.54388307,-46.63807493,sao paulo,SP
01020,-23.55249553,-46.63206,sao paulo,SP
01041,-23.54371285,-46.64026323,sao paulo,SP
01033,-23.5403213,-46.63639482,sao paulo,SP
01050,-23.54985418,-46.6431394,sao paulo,SP
01025,-23.53992094,-46.62834793,sao paulo,SP
01004,-23.5501159,-46.63512161,sao paulo,SP
01044,-23.54447541,-46.64244052,sao paulo,SP
01050,-23.54872317,-46.641603,sao paulo,SP
01020,-23.55249447,-46.631394,sao paulo,SP
01033,-23.5368108,-46.63572116,sao paulo,SP
01026,-23.53889536,-46.635455,sao paulo,SP
01011,-23.54669049,-46.63544696,sao paulo,SP
01032,-23.53657099,-46.63417317,sao paulo,SP
01033,-23.53685925,-46.63579333,sao paulo,SP
01030,-23.53723949,-46.63298207,sao paulo,SP
01046,-23.54608113,-46.6448203,ṣo paulo,SP
01009,-23.5469354,-46.63658793,sao paulo,SP
01042,-23.54415076,-46.64122339,sao paulo,SP
01046,-23.54608113,-46.6448203,sao paulo,SP
01046,-23.54531792,-46.6439748,sao paulo,SP
01023,-23.54260296,-46.63094284,sao paulo,SP
01033,-23.54079672,-46.63647343,sao paulo,SP
01046,-23.54549529,-46.6442248,sao paulo,SP
01046,-23.54536858,-46.64318283,sao paulo,SP
01036,-23.54282808,-46.63939931,sao paulo,SP
01021,-23.54033745,-46.63207307,sao paulo,SP
01049,-23.54530659,-46.63699457,sao paulo,SP
01043,-23.54578197,-46.64137663,sao paulo,SP
01003,-23.54904445,-46.63518261,sao paulo,SP
01030,-23.54203523,-46.63296206,sao paulo,SP
01025,-23.54041081,-46.63126494,sao paulo,SP
01026,-23.53961606,-46.6311875,sao paulo,SP
01021,-23.54183288,-46.63214268,sao paulo,SP
01023,-23.54184992,-46.63133769,sao paulo,SP
01050,-23.54872262,-46.64376241,sao paulo,SP
01019,-23.55166352,-46.63125416,sao paulo,SP
01014,-23.54708227,-46.63340844,sao paulo,SP
01042,-23.5447206,-46.64051557,sao paulo,SP
01009,-23.5469354,-46.63658793,sao paulo,SP
01045,-23.54275398,-46.64148203,sao paulo,SP
01036,-23.54282808,-46.63939931,ṣo paulo,SP
01004,-23.54951309,-46.63471931,sao paulo,SP
01035,-23.5404397,-46.64371578,sao paulo,SP
01005,-23.54981909,-46.63560589,sao paulo,SP
01044,-23.54468934,-46.64222374,sao paulo,SP
01008,-23.54526116,-46.63554571,sao paulo,SP
01037,-23.54519874,-46.63791575,sao paulo,SP
01005,-23.54875839,-46.63841095,sao paulo,SP
01032,-23.53701971,-46.63435857,sao paulo,SP
01035,-23.54394733,-46.6373965,sao paulo,SP
01017,-23.54981335,-46.63035027,ṣo paulo,SP
01046,-23.54573128,-46.64319919,sao paulo,SP
01014,-23.54606595,-46.6334745,sao paulo,SP
01042,-23.54505165,-46.64007245,ṣo paulo,SP
01046,-23.54510615,-46.64381019,sao paulo,SP
01019,-23.55138749,-46.63143237,ṣo paulo,SP
01046,-23.54639669,-46.64305934,sao paulo,SP
01050,-23.54984752,-46.64562246,sao paulo,SP
01029,-23.54376906,-46.63427784,sao paulo,SP
01019,-23.55150051,-46.63131237,sao paulo,SP
01013,-23.54768632,-46.63413977,sao paulo,SP
01008,-23.54801354,-46.63709743,sao paulo,SP
01001,-23.5496983,-46.63390859,sao paulo,SP
01034,-23.54196702,-46.63707836,sao paulo,SP
01025,-23.54002629,-46.62858943,sao paulo,SP
01026,-23.53984025,-46.63026399,ṣo paulo,SP
01038,-23.54474047,-46.64112923,sao paulo,SP
01016,-23.54849513,-46.63349063,sao paulo,SP
01048,-23.54763491,-46.64115924,sao paulo,SP
01009,-23.5469354,-46.63658793,ṣo paulo,SP
01047,-23.54587978,-46.64067372,sao paulo,SP
01036,-23.54017643,-46.64415914,sao paulo,SP
01003,-23.54896048,-46.63617216,sao paulo,SP
01022,-23.54498661,-46.63345367,sao paulo,SP
01030,-23.54332618,-46.63336426,sao paulo,SP
01041,-23.54371285,-46.64026323,sao paulo,SP
01032,-23.54137741,-46.63573484,sao paulo,SP
01041,-23.54353945,-46.64057731,sao paulo,SP
01046,-23.54625296,-46.64521736,sao paulo,SP
01005,-23.5494715,-46.63740388,sao paulo,SP
01014,-23.54463184,-46.6339372,sao paulo,SP
01031,-23.54252079,-46.63533516,sao paulo,SP
01018,-23.55214315,-46.63270721,ṣo paulo,SP
01019,-23.55140553,-46.63058033,sao paulo,SP
